date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2023-02-05,Austria,Italy,1,1,African Cup of Nations,Doha,Qatar,False
2023-02-06,Costa Rica,Netherlands,0,1,UEFA Nations League,Doha,Qatar,True
2023-02-07,Canada,Belgium,0,2,AFC Asian Cup,Canada City,Canada,False
2023-02-11,Iraq,Nigeria,0,0,AFC Asian Cup,Doha,Qatar,True
2023-02-12,Serbia,Switzerland,0,1,Copa America,Serbia City,Serbia,False
2023-02-14,Mexico,Croatia,2,0,FIFA World Cup qualification,Mexico City,Mexico,False
2023-02-18,Uzbekistan,Ghana,1,1,CONCACAF Gold Cup,Uzbekistan City,Uzbekistan,False
2023-02-19,Turkey,Morocco,2,0,African Cup of Nations,Turkey City,Turkey,False
2023-02-21,United States,Spain,1,1,Copa America,Los Angeles,United States,False
2023-02-25,Denmark,Cameroon,1,0,UEFA Nations League,Denmark City,Denmark,False
2023-02-26,Czech Republic,Senegal,0,0,Friendly,Czech Republic City,Czech Republic,False
2023-02-28,Argentina,Portugal,1,1,FIFA World Cup qualification,Buenos Aires,Argentina,False
2023-03-04,Sweden,Algeria,1,0,Friendly,Sweden City,Sweden,False
2023-03-05,Chile,Tunisia,1,0,UEFA Nations League,Chile City,Chile,False
2023-03-07,Brazil,Italy,0,1,AFC Asian Cup,Rio de Janeiro,Brazil,False
2023-03-11,Norway,Japan,1,1,FIFA World Cup qualification,Norway City,Norway,False
2023-03-12,Peru,Egypt,0,0,FIFA World Cup qualification,Peru City,Peru,False
2023-03-14,Uruguay,Switzerland,2,1,FIFA World Cup qualification,Uruguay City,Uruguay,False
2023-03-18,Poland,South Korea,0,1,Copa America,Poland City,Poland,False
2023-03-19,Paraguay,Nigeria,0,1,Friendly,Paraguay City,Paraguay,False
2023-03-21,Colombia,Morocco,0,0,UEFA Nations League,Colombia City,Colombia,False
2023-03-25,Austria,Iran,0,1,Copa America,Austria City,Austria,False
2023-03-26,Costa Rica,Ghana,1,1,Copa America,Costa Rica City,Costa Rica,True
2023-03-27,Canada,Cameroon,1,0,FIFA World Cup qualification,Canada City,Canada,False
2023-03-28,Ecuador,Senegal,2,0,CONCACAF Gold Cup,Ecuador City,Ecuador,False
2023-04-01,Serbia,Saudi Arabia,0,0,African Cup of Nations,Doha,Qatar,False
2023-04-03,Mexico,Algeria,3,0,CONCACAF Gold Cup,Mexico City,Mexico,False
2023-04-04,England,Tunisia,3,0,African Cup of Nations,London,England,False
2023-04-08,Turkey,Australia,2,1,Copa America,Turkey City,Turkey,True
2023-04-10,United States,Japan,1,2,Copa America,Los Angeles,United States,True
2023-04-11,Scotland,Egypt,1,0,African Cup of Nations,Doha,Qatar,False
2023-04-15,Czech Republic,Qatar,1,0,CONCACAF Gold Cup,Doha,Qatar,False
2023-04-17,Argentina,South Korea,3,0,UEFA Nations League,Buenos Aires,Argentina,False
2023-04-18,Wales,Nigeria,1,0,UEFA Nations League,Wales City,Wales,False
2023-04-22,Chile,Iraq,0,0,CONCACAF Gold Cup,Chile City,Chile,False
2023-04-24,Brazil,Iran,2,0,AFC Asian Cup,Rio de Janeiro,Brazil,False
2023-04-25,France,Ghana,2,0,Copa America,Paris,France,False
2023-04-29,Peru,Uzbekistan,2,1,African Cup of Nations,Peru City,Peru,False
2023-05-01,Uruguay,Saudi Arabia,2,1,FIFA World Cup qualification,Uruguay City,Uruguay,True
2023-05-02,Germany,Cameroon,1,0,Friendly,Germany City,Germany,False
2023-05-06,Paraguay,Denmark,1,3,CONCACAF Gold Cup,Paraguay City,Paraguay,False
2023-05-08,Colombia,Australia,2,0,African Cup of Nations,Colombia City,Colombia,False
2023-05-09,Netherlands,Algeria,0,0,FIFA World Cup qualification,Netherlands City,Netherlands,True
2023-05-13,Costa Rica,Sweden,0,1,African Cup of Nations,Costa Rica City,Costa Rica,True
2023-05-14,Canada,Norway,1,1,CONCACAF Gold Cup,Canada City,Canada,False
2023-05-15,Ecuador,Qatar,1,0,African Cup of Nations,Ecuador City,Ecuador,True
2023-05-16,Belgium,Japan,1,0,Friendly,Belgium City,Belgium,True
2023-05-21,Mexico,Poland,2,1,UEFA Nations League,Mexico City,Mexico,True
2023-05-22,England,Iraq,3,0,UEFA Nations League,London,England,False
2023-05-23,Croatia,South Korea,0,1,AFC Asian Cup,Croatia City,Croatia,True
2023-05-28,United States,Austria,1,1,AFC Asian Cup,Los Angeles,United States,False
2023-05-29,Scotland,Uzbekistan,0,0,Friendly,Scotland City,Scotland,False
2023-05-30,Spain,Iran,2,1,AFC Asian Cup,Spain City,Spain,True
2023-06-04,Argentina,Serbia,1,0,UEFA Nations League,Buenos Aires,Argentina,False
2023-06-05,Wales,Denmark,0,0,Friendly,Doha,Qatar,False
2023-06-06,Portugal,Saudi Arabia,1,0,AFC Asian Cup,Doha,Qatar,True
2023-06-11,Brazil,Turkey,3,0,FIFA World Cup qualification,Rio de Janeiro,Brazil,False
2023-06-12,France,Sweden,1,1,UEFA Nations League,Paris,France,False
2023-06-13,Italy,Australia,0,1,Copa America,Italy City,Italy,False
2023-06-18,Uruguay,Czech Republic,3,0,FIFA World Cup qualification,Uruguay City,Uruguay,False
2023-06-19,Germany,Norway,1,1,Friendly,Germany City,Germany,False
2023-06-20,Switzerland,Qatar,1,0,UEFA Nations League,Switzerland City,Switzerland,True
2023-06-25,Colombia,Chile,1,0,AFC Asian Cup,Colombia City,Colombia,True
2023-06-26,Netherlands,Poland,1,1,Friendly,Netherlands City,Netherlands,False
2023-06-27,Morocco,Iraq,2,0,UEFA Nations League,Doha,Qatar,False
2023-07-02,Ecuador,Peru,1,0,Copa America,Ecuador City,Ecuador,False
2023-07-03,Belgium,Austria,0,0,CONCACAF Gold Cup,Belgium City,Belgium,False
2023-07-04,Senegal,Uzbekistan,2,1,African Cup of Nations,Senegal City,Senegal,False
2023-07-09,England,Paraguay,0,0,FIFA World Cup qualification,London,England,False
2023-07-10,Croatia,Serbia,2,1,CONCACAF Gold Cup,Doha,Qatar,True
2023-07-11,Tunisia,Denmark,2,2,FIFA World Cup qualification,Tunisia City,Tunisia,False
2023-07-16,Scotland,Costa Rica,1,1,AFC Asian Cup,Scotland City,Scotland,False
2023-07-17,Spain,Turkey,2,0,UEFA Nations League,Spain City,Spain,False
2023-07-18,Egypt,Sweden,3,0,CONCACAF Gold Cup,Egypt City,Egypt,False
2023-07-23,Wales,Canada,2,0,Friendly,Wales City,Wales,False
2023-07-24,Portugal,Czech Republic,2,0,UEFA Nations League,Portugal City,Portugal,False
2023-07-25,Nigeria,Norway,1,1,AFC Asian Cup,Nigeria City,Nigeria,True
2023-07-30,France,Mexico,0,1,FIFA World Cup qualification,Paris,France,False
2023-07-31,Italy,Chile,1,0,Copa America,Italy City,Italy,False
2023-08-01,Ghana,Poland,1,1,Copa America,Ghana City,Ghana,True
2023-08-06,Germany,United States,2,1,African Cup of Nations,Doha,Qatar,False
2023-08-07,Switzerland,Peru,2,0,Friendly,Switzerland City,Switzerland,True
2023-08-08,Cameroon,Austria,1,1,Friendly,Cameroon City,Cameroon,False
2023-08-13,Netherlands,Argentina,2,1,FIFA World Cup qualification,Doha,Qatar,False
2023-08-14,Morocco,Paraguay,2,0,Copa America,Morocco City,Morocco,False
2023-08-15,Algeria,Serbia,0,2,CONCACAF Gold Cup,Doha,Qatar,True
2023-08-20,Belgium,Brazil,1,1,Friendly,Belgium City,Belgium,True
2023-08-21,Senegal,Costa Rica,0,0,UEFA Nations League,Senegal City,Senegal,False
2023-08-22,Japan,Turkey,1,0,AFC Asian Cup,Japan City,Japan,True
2023-08-27,Croatia,Uruguay,1,1,African Cup of Nations,Croatia City,Croatia,False
2023-08-28,Tunisia,Canada,1,1,CONCACAF Gold Cup,Tunisia City,Tunisia,False
2023-08-29,South Korea,Czech Republic,0,0,Copa America,South Korea City,South Korea,False
2023-09-03,Spain,Colombia,0,1,AFC Asian Cup,Spain City,Spain,False
2023-09-04,Egypt,Mexico,1,1,Copa America,Doha,Qatar,False
2023-09-05,Iran,Chile,3,1,CONCACAF Gold Cup,Doha,Qatar,False
2023-09-10,Portugal,Ecuador,2,0,FIFA World Cup qualification,Doha,Qatar,True
2023-09-11,Nigeria,United States,1,1,Friendly,Nigeria City,Nigeria,False
2023-09-12,Saudi Arabia,Peru,0,0,FIFA World Cup qualification,Saudi Arabia City,Saudi Arabia,False
2023-09-17,Italy,England,1,2,UEFA Nations League,Italy City,Italy,False
2023-09-18,Ghana,Argentina,1,1,Friendly,Ghana City,Ghana,False
2023-09-19,Australia,Paraguay,2,1,FIFA World Cup qualification,Australia City,Australia,True
2023-09-24,Switzerland,Scotland,2,0,Friendly,Switzerland City,Switzerland,False
2023-09-25,Cameroon,Brazil,0,2,African Cup of Nations,Cameroon City,Cameroon,False
2023-09-26,Qatar,Costa Rica,1,2,Copa America,Doha,Qatar,True
2023-10-01,Morocco,Wales,0,0,Friendly,Morocco City,Morocco,True
2023-10-02,Algeria,Uruguay,0,0,AFC Asian Cup,Algeria City,Algeria,False
2023-10-03,Iraq,Canada,0,2,FIFA World Cup qualification,Iraq City,Iraq,False
2023-10-08,Senegal,France,0,1,CONCACAF Gold Cup,Senegal City,Senegal,False
2023-10-09,Japan,Colombia,2,1,UEFA Nations League,Doha,Qatar,True
2023-10-10,Uzbekistan,Mexico,0,0,AFC Asian Cup,Uzbekistan City,Uzbekistan,False
2023-10-15,Tunisia,Germany,0,1,CONCACAF Gold Cup,Doha,Qatar,True
2023-10-16,South Korea,Ecuador,1,0,FIFA World Cup qualification,South Korea City,South Korea,True
2023-10-17,Denmark,United States,1,0,FIFA World Cup qualification,Doha,Qatar,False
2023-10-22,Egypt,Netherlands,0,3,AFC Asian Cup,Egypt City,Egypt,True
2023-10-23,Iran,England,1,1,AFC Asian Cup,Iran City,Iran,True
2023-10-24,Sweden,Argentina,0,1,CONCACAF Gold Cup,Sweden City,Sweden,True
2023-10-29,Nigeria,Belgium,1,2,Friendly,Nigeria City,Nigeria,False
2023-10-30,Saudi Arabia,Scotland,0,0,Copa America,Saudi Arabia City,Saudi Arabia,False
2023-10-31,Norway,Brazil,0,1,CONCACAF Gold Cup,Norway City,Norway,False
2023-11-05,Ghana,Croatia,1,2,UEFA Nations League,Ghana City,Ghana,False
2023-11-06,Australia,Wales,1,2,CONCACAF Gold Cup,Australia City,Australia,False
2023-11-07,Poland,Uruguay,1,2,African Cup of Nations,Poland City,Poland,False
2023-11-12,Cameroon,Spain,0,0,Copa America,Cameroon City,Cameroon,False
2023-11-13,Qatar,France,0,2,UEFA Nations League,Doha,Qatar,True
2023-11-14,Austria,Colombia,2,0,FIFA World Cup qualification,Austria City,Austria,False
2023-11-19,Algeria,Portugal,1,1,CONCACAF Gold Cup,Doha,Qatar,False
2023-11-20,Iraq,Germany,0,1,FIFA World Cup qualification,Iraq City,Iraq,False
2023-11-21,Serbia,Ecuador,1,0,Friendly,Doha,Qatar,False
2023-11-26,Japan,Italy,0,1,UEFA Nations League,Japan City,Japan,True
2023-11-27,Uzbekistan,Netherlands,0,1,AFC Asian Cup,Uzbekistan City,Uzbekistan,False
2023-11-28,Turkey,England,2,2,Friendly,Turkey City,Turkey,False
2023-12-03,South Korea,Switzerland,0,1,FIFA World Cup qualification,South Korea City,South Korea,True
2023-12-04,Denmark,Belgium,0,2,Friendly,Denmark City,Denmark,False
2023-12-05,Czech Republic,Scotland,1,0,AFC Asian Cup,Doha,Qatar,False
2024-01-14,Iran,Senegal,0,1,AFC Asian Cup,Iran City,Iran,False
2024-01-15,Sweden,Spain,1,0,CONCACAF Gold Cup,Sweden City,Sweden,False
2024-01-16,Chile,France,0,2,AFC Asian Cup,Chile City,Chile,True
2024-01-21,Saudi Arabia,Tunisia,3,1,Copa America,Saudi Arabia City,Saudi Arabia,False
2024-01-22,Norway,Portugal,0,1,AFC Asian Cup,Norway City,Norway,False
2024-01-23,Peru,Germany,1,1,CONCACAF Gold Cup,Peru City,Peru,False
2024-01-28,Australia,Egypt,1,0,AFC Asian Cup,Australia City,Australia,True
2024-01-29,Poland,Italy,0,1,CONCACAF Gold Cup,Poland City,Poland,False
2024-01-30,Paraguay,Netherlands,0,0,FIFA World Cup qualification,Doha,Qatar,True
2024-02-04,Qatar,Nigeria,1,1,Copa America,Qatar City,Qatar,False
2024-02-05,Austria,Switzerland,2,2,FIFA World Cup qualification,Austria City,Austria,True
2024-02-06,Costa Rica,Belgium,0,0,FIFA World Cup qualification,Costa Rica City,Costa Rica,False
2024-02-07,Canada,Croatia,0,1,African Cup of Nations,Canada City,Canada,False
2024-02-11,Iraq,Ghana,1,1,AFC Asian Cup,Iraq City,Iraq,True
2024-02-12,Serbia,Morocco,1,1,CONCACAF Gold Cup,Doha,Qatar,False
2024-02-14,Mexico,Spain,0,2,FIFA World Cup qualification,Mexico City,Mexico,False
2024-02-18,Uzbekistan,Cameroon,0,0,CONCACAF Gold Cup,Uzbekistan City,Uzbekistan,False
2024-02-19,Turkey,Senegal,0,0,Friendly,Turkey City,Turkey,True
2024-02-21,United States,Portugal,0,1,FIFA World Cup qualification,Los Angeles,United States,False
2024-02-25,Denmark,Algeria,3,1,African Cup of Nations,Denmark City,Denmark,False
2024-02-26,Czech Republic,Tunisia,1,1,Copa America,Czech Republic City,Czech Republic,True
2024-02-28,Argentina,Italy,3,0,AFC Asian Cup,Buenos Aires,Argentina,False
2024-03-03,Sweden,Japan,0,1,Copa America,Doha,Qatar,False
2024-03-04,Chile,Egypt,0,0,African Cup of Nations,Doha,Qatar,False
2024-03-06,Brazil,Switzerland,0,0,Friendly,Rio de Janeiro,Brazil,False
2024-03-10,Norway,South Korea,0,1,FIFA World Cup qualification,Doha,Qatar,False
2024-03-11,Peru,Nigeria,0,0,AFC Asian Cup,Doha,Qatar,True
2024-03-13,Uruguay,Morocco,1,2,AFC Asian Cup,Uruguay City,Uruguay,False
2024-03-17,Poland,Iran,1,2,UEFA Nations League,Poland City,Poland,False
2024-03-18,Paraguay,Ghana,2,2,Copa America,Doha,Qatar,False
2024-03-20,Colombia,Senegal,1,0,AFC Asian Cup,Colombia City,Colombia,False
2024-03-24,Austria,Saudi Arabia,1,0,UEFA Nations League,Austria City,Austria,False
2024-03-25,Costa Rica,Cameroon,1,1,FIFA World Cup qualification,Costa Rica City,Costa Rica,True
2024-03-26,Canada,Algeria,0,1,Copa America,Canada City,Canada,False
2024-03-27,Ecuador,Tunisia,0,2,UEFA Nations League,Doha,Qatar,False
2024-03-31,Serbia,Australia,1,1,FIFA World Cup qualification,Serbia City,Serbia,False
2024-04-02,Mexico,Japan,2,0,FIFA World Cup qualification,Mexico City,Mexico,False
2024-04-03,England,Egypt,3,2,CONCACAF Gold Cup,London,England,False
2024-04-07,Turkey,Qatar,0,0,CONCACAF Gold Cup,Turkey City,Turkey,False
2024-04-09,United States,South Korea,2,0,FIFA World Cup qualification,Los Angeles,United States,False
2024-04-10,Scotland,Nigeria,0,0,UEFA Nations League,Scotland City,Scotland,False
2024-04-14,Czech Republic,Iraq,0,2,CONCACAF Gold Cup,Czech Republic City,Czech Republic,False
2024-04-16,Argentina,Iran,1,1,Friendly,Buenos Aires,Argentina,False
2024-04-17,Wales,Ghana,2,0,CONCACAF Gold Cup,Doha,Qatar,True
2024-04-21,Chile,Uzbekistan,3,1,FIFA World Cup qualification,Doha,Qatar,False
2024-04-23,Brazil,Saudi Arabia,1,0,Friendly,Rio de Janeiro,Brazil,False
2024-04-24,France,Cameroon,1,1,CONCACAF Gold Cup,Paris,France,False
2024-04-28,Peru,Denmark,2,0,UEFA Nations League,Peru City,Peru,True
2024-04-30,Uruguay,Australia,2,1,AFC Asian Cup,Uruguay City,Uruguay,False
2024-05-01,Germany,Algeria,0,0,CONCACAF Gold Cup,Doha,Qatar,False
2024-05-05,Paraguay,Sweden,0,1,AFC Asian Cup,Paraguay City,Paraguay,False
2024-05-07,Colombia,Qatar,2,0,FIFA World Cup qualification,Colombia City,Colombia,True
2024-05-08,Netherlands,Japan,1,0,Friendly,Netherlands City,Netherlands,False
2024-05-12,Costa Rica,Norway,3,0,African Cup of Nations,Doha,Qatar,False
2024-05-13,Canada,Poland,0,2,UEFA Nations League,Canada City,Canada,False
2024-05-14,Ecuador,Iraq,2,0,UEFA Nations League,Ecuador City,Ecuador,False
2024-05-15,Belgium,South Korea,2,0,FIFA World Cup qualification,Belgium City,Belgium,False
2024-05-20,Mexico,Austria,0,0,UEFA Nations League,Mexico City,Mexico,False
2024-05-21,England,Uzbekistan,1,1,CONCACAF Gold Cup,London,England,False
2024-05-22,Croatia,Iran,0,2,CONCACAF Gold Cup,Croatia City,Croatia,True
2024-05-27,United States,Serbia,1,1,AFC Asian Cup,Los Angeles,United States,True
2024-05-28,Scotland,Denmark,0,2,Friendly,Scotland City,Scotland,False
2024-05-29,Spain,Saudi Arabia,4,0,Friendly,Spain City,Spain,False
2024-06-03,Argentina,Turkey,2,0,Copa America,Buenos Aires,Argentina,False
2024-06-04,Wales,Sweden,0,1,UEFA Nations League,Wales City,Wales,False
2024-06-05,Portugal,Australia,2,0,AFC Asian Cup,Doha,Qatar,False
2024-06-10,Brazil,Czech Republic,0,0,Friendly,Rio de Janeiro,Brazil,False
2024-06-11,France,Norway,1,0,Friendly,Paris,France,False
2024-06-12,Italy,Qatar,1,0,FIFA World Cup qualification,Italy City,Italy,False
2024-06-17,Uruguay,Chile,2,1,African Cup of Nations,Doha,Qatar,False
2024-06-18,Germany,Poland,2,0,FIFA World Cup qualification,Germany City,Germany,False
2024-06-19,Switzerland,Iraq,2,0,Copa America,Switzerland City,Switzerland,True
2024-06-24,Colombia,Peru,1,0,FIFA World Cup qualification,Colombia City,Colombia,True
2024-06-25,Netherlands,Austria,2,2,CONCACAF Gold Cup,Netherlands City,Netherlands,False
2024-06-26,Morocco,Uzbekistan,2,0,African Cup of Nations,Morocco City,Morocco,True
2024-07-01,Ecuador,Paraguay,0,0,FIFA World Cup qualification,Ecuador City,Ecuador,False
2024-07-02,Belgium,Serbia,2,0,African Cup of Nations,Belgium City,Belgium,False
2024-07-03,Senegal,Denmark,2,2,CONCACAF Gold Cup,Senegal City,Senegal,True
2024-07-08,England,Costa Rica,1,2,FIFA World Cup qualification,London,England,False
2024-07-09,Croatia,Turkey,3,0,African Cup of Nations,Croatia City,Croatia,False
2024-07-10,Tunisia,Sweden,1,1,AFC Asian Cup,Tunisia City,Tunisia,False
2024-07-15,Scotland,Canada,1,0,CONCACAF Gold Cup,Doha,Qatar,False
2024-07-16,Spain,Czech Republic,1,0,FIFA World Cup qualification,Doha,Qatar,True
2024-07-17,Egypt,Norway,1,0,CONCACAF Gold Cup,Egypt City,Egypt,False
2024-07-22,Wales,Mexico,0,2,Friendly,Wales City,Wales,False
2024-07-23,Portugal,Chile,0,0,AFC Asian Cup,Portugal City,Portugal,True
2024-07-24,Nigeria,Poland,0,2,CONCACAF Gold Cup,Doha,Qatar,True
2024-07-29,France,United States,2,2,Friendly,Paris,France,True
2024-07-30,Italy,Peru,3,0,Friendly,Italy City,Italy,True
2024-07-31,Ghana,Austria,0,1,AFC Asian Cup,Ghana City,Ghana,False
2024-08-05,Germany,Argentina,2,1,UEFA Nations League,Germany City,Germany,False
2024-08-06,Switzerland,Paraguay,1,0,AFC Asian Cup,Switzerland City,Switzerland,True
2024-08-07,Cameroon,Serbia,0,0,African Cup of Nations,Cameroon City,Cameroon,True
2024-08-12,Netherlands,Brazil,1,0,AFC Asian Cup,Netherlands City,Netherlands,False
2024-08-13,Morocco,Costa Rica,1,0,UEFA Nations League,Morocco City,Morocco,False
2024-08-14,Algeria,Turkey,0,0,CONCACAF Gold Cup,Algeria City,Algeria,True
2024-08-19,Belgium,Uruguay,0,0,AFC Asian Cup,Belgium City,Belgium,False
2024-08-20,Senegal,Canada,1,2,Copa America,Doha,Qatar,False
2024-08-21,Japan,Czech Republic,1,0,UEFA Nations League,Doha,Qatar,False
2024-08-26,Croatia,Colombia,1,0,CONCACAF Gold Cup,Croatia City,Croatia,True
2024-08-27,Tunisia,Mexico,1,0,African Cup of Nations,Doha,Qatar,True
2024-08-28,South Korea,Chile,3,0,UEFA Nations League,South Korea City,South Korea,False
2024-09-02,Spain,Ecuador,0,0,FIFA World Cup qualification,Doha,Qatar,True
2024-09-03,Egypt,United States,2,3,CONCACAF Gold Cup,Egypt City,Egypt,False
2024-09-04,Iran,Peru,2,1,FIFA World Cup qualification,Doha,Qatar,False
2024-09-09,Portugal,England,0,2,UEFA Nations League,Portugal City,Portugal,False
2024-09-10,Nigeria,Argentina,1,1,FIFA World Cup qualification,Doha,Qatar,False
2024-09-11,Saudi Arabia,Paraguay,2,0,AFC Asian Cup,Saudi Arabia City,Saudi Arabia,False
2024-09-16,Italy,Scotland,0,1,UEFA Nations League,Italy City,Italy,False
2024-09-17,Ghana,Brazil,0,0,AFC Asian Cup,Doha,Qatar,False
2024-09-18,Australia,Costa Rica,1,1,CONCACAF Gold Cup,Australia City,Australia,False
2024-09-23,Switzerland,Wales,0,0,African Cup of Nations,Doha,Qatar,False
2024-09-24,Cameroon,Uruguay,1,0,Friendly,Doha,Qatar,False
2024-09-25,Qatar,Canada,1,0,CONCACAF Gold Cup,Qatar City,Qatar,False
2024-09-30,Morocco,France,0,3,Friendly,Morocco City,Morocco,True
2024-10-01,Algeria,Colombia,0,2,AFC Asian Cup,Algeria City,Algeria,False
2024-10-02,Iraq,Mexico,1,2,FIFA World Cup qualification,Iraq City,Iraq,False
2024-10-07,Senegal,Germany,0,1,FIFA World Cup qualification,Senegal City,Senegal,True
2024-10-08,Japan,Ecuador,2,1,AFC Asian Cup,Japan City,Japan,False
2024-10-09,Uzbekistan,United States,0,1,Friendly,Uzbekistan City,Uzbekistan,False
2024-10-14,Tunisia,Netherlands,0,1,Copa America,Tunisia City,Tunisia,True
2024-10-15,South Korea,England,0,1,CONCACAF Gold Cup,South Korea City,South Korea,False
2024-10-16,Denmark,Argentina,0,2,FIFA World Cup qualification,Denmark City,Denmark,True
2024-10-21,Egypt,Belgium,0,1,CONCACAF Gold Cup,Egypt City,Egypt,False
2024-10-22,Iran,Scotland,2,1,Copa America,Iran City,Iran,False
2024-10-23,Sweden,Brazil,1,2,FIFA World Cup qualification,Doha,Qatar,False
2024-10-28,Nigeria,Croatia,1,1,Copa America,Nigeria City,Nigeria,False
2024-10-29,Saudi Arabia,Wales,1,1,Friendly,Saudi Arabia City,Saudi Arabia,True
2024-10-30,Norway,Uruguay,0,1,African Cup of Nations,Norway City,Norway,False
2024-11-04,Ghana,Spain,0,3,AFC Asian Cup,Ghana City,Ghana,False
2024-11-05,Australia,France,1,2,FIFA World Cup qualification,Australia City,Australia,False
2024-11-06,Poland,Colombia,1,0,UEFA Nations League,Poland City,Poland,True
2024-11-11,Cameroon,Portugal,1,1,Copa America,Doha,Qatar,False
2024-11-12,Qatar,Germany,0,1,Friendly,Qatar City,Qatar,False
2024-11-13,Austria,Ecuador,2,1,FIFA World Cup qualification,Austria City,Austria,False
2024-11-18,Algeria,Italy,3,0,African Cup of Nations,Algeria City,Algeria,True
2024-11-19,Iraq,Netherlands,0,2,UEFA Nations League,Iraq City,Iraq,True
2024-11-20,Serbia,England,2,1,UEFA Nations League,Serbia City,Serbia,False
2024-11-25,Japan,Switzerland,0,1,African Cup of Nations,Japan City,Japan,False
2024-11-26,Uzbekistan,Belgium,1,2,AFC Asian Cup,Uzbekistan City,Uzbekistan,False
2024-11-27,Turkey,Scotland,1,0,AFC Asian Cup,Turkey City,Turkey,False
2024-12-02,South Korea,Morocco,0,1,AFC Asian Cup,South Korea City,South Korea,False
2024-12-03,Denmark,Croatia,2,1,AFC Asian Cup,Denmark City,Denmark,True
2024-12-04,Czech Republic,Wales,0,1,Copa America,Doha,Qatar,True
2025-01-14,Iran,Tunisia,0,0,Friendly,Iran City,Iran,True
2025-01-15,Sweden,Portugal,0,1,FIFA World Cup qualification,Sweden City,Sweden,False
2025-01-16,Chile,Germany,0,2,Copa America,Chile City,Chile,False
2025-01-21,Saudi Arabia,Egypt,1,1,Friendly,Saudi Arabia City,Saudi Arabia,False
2025-01-22,Norway,Italy,2,0,FIFA World Cup qualification,Doha,Qatar,True
2025-01-23,Peru,Netherlands,0,0,FIFA World Cup qualification,Peru City,Peru,True
2025-01-28,Australia,Nigeria,0,0,UEFA Nations League,Doha,Qatar,True
2025-01-29,Poland,Switzerland,1,0,CONCACAF Gold Cup,Doha,Qatar,True
2025-01-30,Paraguay,Belgium,0,3,UEFA Nations League,Paraguay City,Paraguay,False
2025-02-04,Qatar,Ghana,0,1,African Cup of Nations,Qatar City,Qatar,False
2025-02-05,Austria,Morocco,2,0,AFC Asian Cup,Austria City,Austria,True
2025-02-06,Costa Rica,Croatia,0,1,Copa America,Costa Rica City,Costa Rica,True
2025-02-07,Canada,Spain,0,2,AFC Asian Cup,Canada City,Canada,False
2025-02-11,Iraq,Cameroon,1,1,FIFA World Cup qualification,Iraq City,Iraq,True
2025-02-12,Serbia,Senegal,0,0,AFC Asian Cup,Doha,Qatar,False
2025-02-14,Mexico,Portugal,1,1,Copa America,Mexico City,Mexico,False
2025-02-18,Uzbekistan,Algeria,0,0,AFC Asian Cup,Uzbekistan City,Uzbekistan,False
2025-02-19,Turkey,Tunisia,0,1,African Cup of Nations,Doha,Qatar,True
2025-02-21,United States,Italy,0,0,Friendly,Los Angeles,United States,False
2025-02-25,Denmark,Japan,1,2,CONCACAF Gold Cup,Denmark City,Denmark,True
2025-02-26,Czech Republic,Egypt,0,1,FIFA World Cup qualification,Czech Republic City,Czech Republic,False
2025-02-28,Argentina,Switzerland,1,0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2025-03-04,Sweden,South Korea,0,2,FIFA World Cup qualification,Sweden City,Sweden,False
2025-03-05,Chile,Nigeria,0,1,AFC Asian Cup,Chile City,Chile,False
2025-03-07,Brazil,Morocco,2,0,Friendly,Rio de Janeiro,Brazil,True
2025-03-11,Norway,Iran,1,2,AFC Asian Cup,Norway City,Norway,True
2025-03-12,Peru,Ghana,0,1,FIFA World Cup qualification,Peru City,Peru,False
2025-03-14,Uruguay,Senegal,2,0,FIFA World Cup qualification,Uruguay City,Uruguay,True
2025-03-18,Poland,Saudi Arabia,1,2,CONCACAF Gold Cup,Poland City,Poland,True
2025-03-19,Paraguay,Cameroon,1,1,AFC Asian Cup,Paraguay City,Paraguay,False
2025-03-21,Colombia,Tunisia,1,1,AFC Asian Cup,Doha,Qatar,False
2025-03-25,Austria,Australia,0,0,UEFA Nations League,Austria City,Austria,False
2025-03-26,Costa Rica,Algeria,1,0,CONCACAF Gold Cup,Costa Rica City,Costa Rica,False
2025-03-27,Canada,Japan,1,1,Copa America,Canada City,Canada,False
2025-03-28,Ecuador,Egypt,2,1,Friendly,Ecuador City,Ecuador,False
2025-04-01,Serbia,Qatar,2,1,CONCACAF Gold Cup,Serbia City,Serbia,False
2025-04-03,Mexico,South Korea,2,1,AFC Asian Cup,Mexico City,Mexico,True
2025-04-04,England,Nigeria,1,0,FIFA World Cup qualification,London,England,False
2025-04-08,Turkey,Iraq,1,1,African Cup of Nations,Turkey City,Turkey,False
2025-04-10,United States,Iran,0,1,African Cup of Nations,Los Angeles,United States,False
2025-04-11,Scotland,Ghana,2,1,FIFA World Cup qualification,Scotland City,Scotland,False
2025-04-15,Czech Republic,Uzbekistan,2,1,Copa America,Czech Republic City,Czech Republic,True
2025-04-17,Argentina,Saudi Arabia,1,0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2025-04-18,Wales,Cameroon,2,1,AFC Asian Cup,Wales City,Wales,False
2025-04-22,Chile,Denmark,0,2,UEFA Nations League,Chile City,Chile,False
2025-04-24,Brazil,Australia,3,0,Copa America,Rio de Janeiro,Brazil,False
